Monto
17697
7600
5301.95
1622.44
4373.06
6523.84
7333.92
540
3320
909.7
2600
500
5500
4300
4950
2569.77
3206.77
699.46
3160.54
15686.21
1363.55
2022.57
8800.34
4588.54
494.47
2501.6
256.16
2300
878.68
288.08
13470.88
923.85
598.26
4323.36
6300
1296.91
35.95
5700
2329.97
1085.56
5558
1766
4456.9
681
2737.5
4865.52
870.11
321.15
316.57
5000
1357.65
4061.11
4951.32
584.47
1798.62
4131.87
810.28
659.22
275.58
294
72.17
2229.72
2509.96
1115.51
2400
1080
7125
1437.12
2700
1159.39
28.45
727.93
1242.31
4700
3840.74
6900
2450
2450
1091.36
5935.13
2784.63
1963.27
10195.73
8700
4460
867.29
1382.14
938.53
1512.37
2470.28
2589.24
2610.33
1929.2
8494.95
2848.84
2420
1307.3
2757.83
7000
1481.97
218.06
1505.87
4777.04
2066.74
10234.43
2226.6
7645.89
1529.7
1689.62
1076.04
996.14
2450
8181.72
4743.55
5413
2574.75
3770.27
1788.76
436.69
1650
2354.62
2984.41
2720
2602.5
2548.26
4315.48
5722.83
17422.5
2787.39
2431
3887.69
1167.68
556
24400
1833
1574.73
2632
2000
8220.07
917
1394.57
1540
3185.34
7765.27
1306.04
1382.62
2983.29
12900.35
11353.44
2792.29
2318.53
1005.39
1754.73
5700
757.67
793.52
1022.56
882.39
830.97
95.49
2086.7
4997.04
12100
2042.56
3886.72
1250
785.26
114.01
864.02
3470.58
751.02
2124.97
531.84
816.74
728.1
3656.02
855.3
920
2381.96
2168.13
1230.47
457.18
1868.2
4451.9
40315
1570.9
8301.07
1418.55
1289.7
1522
1921.2
1983.7
439.7
2567.92
2020
3563
2271.2
7338.72
4012.28
831.27
1226.17
5674.51
2860.54
1306.7
793.56
3400
1450
1076.34
276.94
1753.54
1353.46
9200
669.32
600
699.07
315.63
1199
418.6
1717.6
3201.09
5398.49
12931.88
2576.03
1853.03
1062.52
1427.22
9884.93
718.82
1174.42
2700
1300
1458.26
2303.13
403.11
3579.15
466.7
196.3
2860
1662.6
1866.66
1719.5
1459.7
451.27
7900
4035.88
6793.08
2170
3580
7245.14
11242.06
693.8
5133.07
803.22
2293.39
1246.3
1786.44
2867.45
6655.66
304.78
987.06
6300
715.16
89.66
1375.03
608.72
750
2352.92
870.89
1551.29
4163.12
2300
1400
2300
650
4422.89
87.97
1243.42
2703.4
13049
6192.97
3965.42
21591.2
1118.58
8930
1818.26
1908.94
682.56
3291.54
3248.19
1958.13
2825.51
864.4
10400
1604.96
4382.52
787.95
3021.92
1473.84
1333.66
2127.14
1288.86
1005.54
50
806.04
2600
335.89
20
3511.39
586.92
644.77
538.23
1212.87
3286.06
250
1572.71
1011.57
2768.68
8700
11500
4836.6
648.5
3632.46
500
938.2
5462.09
4377.74
6684.03
2090
2242.26
2550.61
8347.11
10992.02
1398.13
700
1532.8
457.71
2200
4546.16
17159.35
900
1000
5391.5
854.97
1652.8
519.38
2293.03
565.38
38.73
1458.52
250
1600
810.4
183.66
2115.62
4856.29
4143.3
1769.43
1350
918.89
2594.5
9700
589.04
3400
366.97
6834.01
2900
779.48
2473.39
1168.74
809.51
2794.21
2149.33
1380.18
2779.37
17300
1490
547.87
1300
471.09
485.23
6149.5
1652.85
1394.3
800
1322.05
621.91
2970.41
8640
1218.18
2251.14
6399.75
7343.29
1820.53
2562.09
935.23
2100
2192.6
3785
1950
3037.37
3700
1421.42
2224.8
1940.33
1791.31
2827.38
19556.48
549.73
2776.62
17763.56
1431.05
1420.66
800
4800
2739.86
755.44
2980
10443.56
436.03
3605.72
7011.73
298.78
5789
942.24
1897.57
8200
596.34
700
2000
2732.36
10387
3149.5
6519.15
6029.59
859.03
1250
3798.34
550
5970
6094.15
1000
1970.54
349.18
8692
6959.3
1443.27
1565.65
850
4149.5
1830
800
2760.82
1227.98
1365.29
738.15
4079.58
2148.79
2263.45
2380
700
2046.57
8411.06
5347.19
700
2014.08
1100
1922.57
2676.2
5317.3
790.14
700
2875.08
6900
587.42
3513.98
419.73
2712.04
1616.44
1080
2480
23300
4981.94
1575.03
518
780
720
2948
3514.34
921.1
3227.98
2953.38
7664.43
2188.87
2965.8
1468.54
1525.99
8400
589.22
2589.7
1076.36
772.67
2298.13
2161.94
950.96
6812.4
3654.11
2088.97
50065
2103.44
2752.48
2514.4
4846.99
1705.85
10384.4
1431.6
2698.13
2014.03
572.16
1684.71
1579.92
1160
3811.58
11305
256.42
355.5
1069.31
12300
2804.07
4529.57
1566.49
4275
29.54
2400
4938
1682.95
1480.01
6535.77
108.84
1337.37
832.48
2370.69
795.91
344.38
1981.58
1087.7
1629.95
2699.51
720.93
1090
2662.54
4049.5
49.69
3733.51
3150
800
730
10462.39
2288.66
970.7
2950
1338
2255.22
670
2630.74
2622.94
2063.55
1859.46
5247.86
1200.16
6682.59
3299.99
3610
6066.57
1190.81
290.17
5663.9
182.07
209.87
4018.94
1032.27
5255.36
2011.53
1350
2905.25
452.05
7338.35
3570
3900
486
3000
2100
1092.79
1459.49
9736
190.68
3700
8500.3
7190
1852.56
1361.36
5213.3
40792.63
1105.27
1270
1100.31
1377.71
916
5600
831.31
1600
7408.62
1439.8
1020.74
2359.8
1724.46
700
476.94
7248.83
33014.75
4279.2
10288.58
2735.03
1150
3300
1350
3807.32
